Ticker,Market,Current Price,Mon (Sep 07),Tue (Sep 08),Wed (Sep 09),Thu (Sep 10),Fri (Sep 11),5-Day Change (%),Trajectory
AAL.L,United Kingdom,£4166.00 GBP,£4068.62 GBP,£4067.39 GBP,£4095.10 GBP,£4087.32 GBP,£4087.79 GBP,-1.88%,BEARISH 📉
AAPL,United States,$319.97 USD,$327.97 USD,$321.31 USD,$328.40 USD,$323.64 USD,$329.90 USD,+3.10%,BULLISH 📈
ABBV,United States,$256.46 USD,$262.87 USD,$257.86 USD,$263.08 USD,$259.20 USD,$264.26 USD,+3.04%,BULLISH 📈
ABF.L,United Kingdom,£2072.00 GBP,£2043.56 GBP,£2048.37 GBP,£2056.39 GBP,£2049.14 GBP,£2047.49 GBP,-1.18%,BEARISH 📉
ABT,United States,$108.33 USD,$111.04 USD,$109.15 USD,$110.94 USD,$109.27 USD,$111.43 USD,+2.86%,BULLISH 📈
ABX.TO,Canada,C$61.92 CAD,C$63.47 CAD,C$63.29 CAD,C$62.44 CAD,C$61.43 CAD,C$62.70 CAD,+1.25%,BULLISH 📈
ADBE,United States,$266.51 USD,$269.57 USD,$264.93 USD,$271.08 USD,$265.18 USD,$263.49 USD,-1.13%,BEARISH 📉
AEM.TO,Canada,C$283.22 CAD,C$290.30 CAD,C$286.24 CAD,C$288.96 CAD,C$284.52 CAD,C$290.21 CAD,+2.47%,BULLISH 📈
AMD,United States,$477.57 USD,$488.70 USD,$479.46 USD,$489.05 USD,$481.84 USD,$491.25 USD,+2.86%,BULLISH 📈
AMGN,United States,$437.23 USD,$448.15 USD,$438.69 USD,$448.79 USD,$442.36 USD,$450.86 USD,+3.12%,BULLISH 📈
AMZN,United States,$258.51 USD,$264.97 USD,$259.79 USD,$265.25 USD,$261.37 USD,$266.45 USD,+3.07%,BULLISH 📈
AQN.TO,Canada,C$7.85 CAD,C$8.05 CAD,C$8.07 CAD,C$7.91 CAD,C$7.78 CAD,C$7.95 CAD,+1.21%,BULLISH 📈
